Topic, SubTopic,Comments,Resource/Book/Tutorials,Status,,,,,,, 
Flutter,Gestures,,https://github.com/AdarshMaurya/flutter-getting-started/wiki/Introducing-Gestures-and-Animations,,,,,,,,
Junit,,,Book : pragmatic-unit-testing,,,,,,,,
Java,"FunctionalInterface,  lambda expressions",,https://stackoverflow.com/questions/58166625/whats-is-the-functionality-of-in-collection-add-7,,,,,,,,
MachineLearning,,,,,,,,,,,
NodeJS,,,,,,,,,,,
Java,JVM,,https://www.cubrid.org/blog/understanding-jvm-internals/,,,,,,,,
Flutter,,,,,,,,,,,
Java,JVM,,https://anturis.com/blog/java-virtual-machine-the-essential-guide/,,,,,,,,
Flutter,Tabs,,https://flutter.dev/docs/cookbook/design/tabs,,,,,,,,
Java,JVM,,https://dzone.com/articles/a-detailed-breakdown-of-the-jvm,,,,,,,,
Java,"FunctionalInterface,  lambda expressions",,https://www.geeksforgeeks.org/functional-interfaces-java/,,,,,,,,
Java,JVM Tools,,https://github.com/deephacks/awesome-jvm#nix-tools,,,,,,,,
Java,JVM,,https://www.artima.com/insidejvm/ed2/lifetype.html,,,,,,,,
Flutter,Gestures,,https://tphangout.com/flutter-gestures/,,,,,,,,
Java,JVM,,https://www.programcreek.com/2013/01/when-and-how-a-java-class-is-loaded-and-initialized/,,,,,,,,
Java,Serialization_Deserialization,,https://www.geeksforgeeks.org/serialization-in-java/,,,,,,,,
Flutter,Gestures,,https://medium.com/flutter-community/flutter-deep-dive-gestures-c16203b3434f,,,,,,,,
Java,Patterns,,https://www.journaldev.com/1827/java-design-patterns-example-tutorial,,,,,,,,
Java,Collections,,https://www.baeldung.com/java-collections,,,,,,,,
Flutter,ListTile,Intro to ListTile,https://medium.com/@suragch/a-complete-guide-to-flutters-listtile-597a20a3d449,,,,,,,,
DataScience,Intro,,https://data-flair.training/blogs/what-is-data-science/,Not Started, , ,,,,,
